Date,Description,Amount,Category,amount_num
10/05/2025,Uber Eats - Grill'd,-22.5,Eating Out,-22.5
10/05/2025,Cotton On Karrinyup,-29.99,Shopping,-29.99
10/05/2025,Uber - Northbridge to Home,-15.0,Transport,-15.0
11/04/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
11/04/2025,Spotify Premium,-11.99,Subscriptions,-11.99
11/05/2025,Woolworths Metro City,-53.4,Food & Groceries,-53.4
11/06/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
11/06/2025,The Bird Northbridge,-41.0,Social,-41.0
11/06/2025,Uber - Northbridge to Home,-15.8,Transport,-15.8
12/04/2025,Uber Eats - Nando's,-24.5,Eating Out,-24.5
12/04/2025,Uber - Northbridge to Home,-16.5,Transport,-16.5
12/04/2025,The Rechabite Northbridge,-42.0,Social,-42.0
12/04/2025,7-Eleven Beaufort St,-5.5,Coffee & Snacks,-5.5
12/05/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
12/06/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
13/04/2025,Woolworths Metro City,-51.2,Food & Groceries,-51.2
13/05/2025,Hungry Jacks Murray St,-11.6,Eating Out,-11.6
13/06/2025,Boost Juice Garden City,-7.5,Coffee & Snacks,-7.5
14/04/2025,Hungry Jacks Murray St,-10.4,Eating Out,-10.4
14/05/2025,Curtin University Parking,-12.0,Transport,-12.0
14/06/2025,Uber Eats - Nando's,-23.5,Eating Out,-23.5
14/06/2025,Lucky Chan's Northbridge,-40.0,Social,-40.0
14/06/2025,Uber - Perth CBD to Home,-15.5,Transport,-15.5
14/06/2025,Coles Supermarket Karrinyup,-66.8,Food & Groceries,-66.8
15/04/2025,Chemist Warehouse Morley,-18.5,Other,-18.5
15/04/2025,Uber Eats - Domino's,-19.9,Eating Out,-19.9
15/06/2025,Curtin University Parking,-12.0,Transport,-12.0
16/04/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
16/05/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
16/05/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
16/06/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
17/05/2025,Lucky Chan's Northbridge,-41.0,Social,-41.0
17/05/2025,Uber - Northbridge to Home,-15.5,Transport,-15.5
17/05/2025,Cotton On Karrinyup,-44.99,Shopping,-44.99
17/05/2025,Boost Juice Garden City,-7.5,Coffee & Snacks,-7.5
17/06/2025,Synergy Power Bill,-95.0,Bills & Utilities,-95.0
17/06/2025,Curtin University Parking,-12.0,Transport,-12.0
18/04/2025,Netflix Monthly,-17.99,Subscriptions,-17.99
18/04/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
18/05/2025,Coles Supermarket Karrinyup,-64.2,Food & Groceries,-64.2
18/06/2025,Hungry Jacks Murray St,-11.0,Eating Out,-11.0
18/06/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
19/04/2025,Uber Eats - Pizza Hut,-19.9,Eating Out,-19.9
19/04/2025,Uber - Northbridge to Home,-15.0,Transport,-15.0
19/04/2025,The Grosvenor Hotel,-36.0,Social,-36.0
19/04/2025,Boost Juice Garden City,-7.5,Coffee & Snacks,-7.5
19/05/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
19/06/2025,Uber Eats - Pizza Hut,-20.5,Eating Out,-20.5
20/04/2025,Coles Supermarket Karrinyup,-62.3,Food & Groceries,-62.3
20/05/2025,Curtin University Parking,-12.0,Transport,-12.0
20/05/2025,Uber Eats - Grill'd,-21.5,Eating Out,-21.5
20/06/2025,Woolworths Metro City,-51.8,Food & Groceries,-51.8
21/04/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
21/05/2025,Cotton On Karrinyup,-34.99,Shopping,-34.99
21/06/2025,Uber Eats - Domino's,-18.9,Eating Out,-18.9
21/06/2025,Uber - Perth CBD to Home,-16.0,Transport,-16.0
21/06/2025,The Grosvenor Hotel,-38.0,Social,-38.0
21/06/2025,Boost Juice Hay St,-7.5,Coffee & Snacks,-7.5
22/04/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
22/05/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
22/06/2025,Kmart Carousel,-26.99,Shopping,-26.99
23/05/2025,The Rechabite Northbridge,-44.0,Social,-44.0
23/05/2025,Uber - Northbridge to Home,-16.0,Transport,-16.0
23/06/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
24/04/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
24/05/2025,Uber - Northbridge to Home,-15.0,Transport,-15.0
24/05/2025,The Bird Northbridge,-40.0,Social,-40.0
24/05/2025,Uber Eats - Domino's,-19.9,Eating Out,-19.9
24/05/2025,Woolworths Metro City,-49.6,Food & Groceries,-49.6
24/06/2025,Amplifier Bar Perth,-43.0,Social,-43.0
24/06/2025,Uber - Perth CBD to Home,-16.2,Transport,-16.2
25/04/2025,Uber - Northbridge to Home,-15.5,Transport,-15.5
25/04/2025,The Grosvenor Hotel,-38.0,Social,-38.0
25/05/2025,Boost Juice Hay St,-7.5,Coffee & Snacks,-7.5
25/06/2025,Coles Supermarket Karrinyup,-61.4,Food & Groceries,-61.4
26/04/2025,Uber - Northbridge to Home,-15.0,Transport,-15.0
26/04/2025,The Rechabite Northbridge,-38.0,Social,-38.0
26/04/2025,Uber Eats - McDonald's,-16.9,Eating Out,-16.9
26/04/2025,Woolworths Metro City,-47.8,Food & Groceries,-47.8
26/05/2025,McDonald's Northbridge,-10.2,Eating Out,-10.2
26/06/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
27/04/2025,Boost Juice Hay St,-7.5,Coffee & Snacks,-7.5
27/05/2025,Chemist Warehouse Morley,-13.9,Other,-13.9
27/06/2025,Transperth Smartrider Topup,-25.0,Transport,-25.0
28/04/2025,Kmart Carousel,-28.99,Shopping,-28.99
28/06/2025,The Grosvenor Hotel,-38.0,Social,-38.0
28/06/2025,Uber Eats - Hungry Jacks,-17.5,Eating Out,-17.5
28/06/2025,Uber Eats - McDonald's,-16.9,Eating Out,-16.9
28/06/2025,Woolworths Metro City,-48.9,Food & Groceries,-48.9
28/06/2025,Uber - Northbridge to Home,-15.0,Transport,-15.0
29/04/2025,McDonald's Northbridge,-10.8,Eating Out,-10.8
29/05/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
30/04/2025,Chemist Warehouse Morley,-14.5,Other,-14.5
30/05/2025,Coles Supermarket Karrinyup,-58.9,Food & Groceries,-58.9
30/06/2025,Casual Work - Hungry Jacks,580.0,Income,580.0
31/05/2025,Cotton On Karrinyup,-39.99,Shopping,-39.99
31/05/2025,7-Eleven Beaufort St,-5.0,Coffee & Snacks,-5.0
31/05/2025,Uber Eats - Grill'd,-22.5,Eating Out,-22.5
